!$Name$$$bin?$$$$$RA$$$$$$Declination$$Period (s)$pdot$$$$$$$Dist (Kpc)$$$Age (yr)$
! note that if column labels are required, their specification must occur on
! the first line of the file.
!
!  ** TEST.DAT **
! an example data file for PONGO
1154-62  20    178.68      -62.136     .40052      0.39300E-14   7.0000      0.16147E+07 
1159-58  20    179.98      -58.064     .45280      0.21265E-14   5.0000      0.33737E+07 
1221-63  20    185.39      -63.855     .21647      0.49547E-14   2.7000      0.69224E+06 
1222-63  20    185.73      -63.869     .41962      0.94600E-15   15.000      0.70280E+07 
1232-55  20    188.13      -55.000     .63823      0.00000E+00   3.5000      0.00000E+00 
1236-68  20    189.24      -68.267     1.3019      0.11892E-13   3.3000      0.17346E+07 
1237+25  16    189.30       25.171     1.3824      0.95954E-15  0.33000      0.22827E+08 
1237-41  20    189.39      -41.140     .51224      0.17390E-14   1.6000      0.46670E+07 
1240-64  20    190.08      -64.116     .38848      0.45003E-14   12.000      0.13677E+07 
1254-10  20    193.62      -10.181     .61731      0.36250E-15   1.1000      0.26981E+08 
1256-67  20    194.04      -67.425     .66333      0.12060E-14   3.2000      0.87146E+07 
1302-64  20    195.55      -64.656     .57165      0.40320E-14   19.000      0.22463E+07 
1309-12  20    197.31      -12.202     .44752      0.15060E-15   1.3000      0.47082E+08 
1309-53  20    197.26      -53.780     .72815      0.14800E-15   4.8000      0.77952E+08 
1309-55  20    197.46      -55.015     .84924      0.57060E-14   4.8000      0.23581E+07 
1317-53  20    199.45      -53.723     .27973      0.92589E-14   3.5000      0.47867E+06 
1322+83   3    200.66       83.655     .67004      0.56500E-15  0.48000      0.18790E+08 
1322-66  20    200.64      -66.754     .54301      0.53100E-14   7.3000      0.16202E+07 
1323-58  20    200.93      -58.732     .47799      0.32110E-14   9.8000      0.23585E+07 
1323-62  20    200.99      -62.119     .52991      0.18890E-13   7.9000      0.44446E+06 
1323-63  20    200.79      -63.886     .79267      0.31030E-14   18.000      0.40474E+07 
1325-43  20    201.29      -43.704     .53270      0.30140E-14   1.5000      0.28003E+07 
1325-49  20    201.38      -49.101     1.4787      0.61000E-15   4.3000      0.38408E+08 
1336-64  20    204.11      -64.692     .37862      0.50512E-14   2.3000      0.11876E+07 
1338-62  20    204.62      -62.117     .19320      0.00000E+00   25.000      0.00000E+00 
1352-51  20    208.18      -51.654     .64430      0.28130E-14   4.0000      0.36290E+07 
1353-62  20    208.46      -62.217     .45576      0.00000E+00   12.000      0.00000E+00 
1356-60  20    209.11      -60.393     .12750      0.63385E-14   8.8000      0.31871E+06 
1358-63  20    209.54      -63.721     .84278      0.16905E-13   2.9000      0.78989E+06 
1359-51  20    209.92      -51.167     1.3802      0.00000E+00   1.3000      0.00000E+00 
1417-54  20    214.26      -54.044     .93577      0.23700E-15   4.5000      0.62559E+08 
1424-55  20    216.23      -55.291     .57029      0.20870E-14   2.7000      0.43295E+07 
1426-66  20    216.65      -66.163     .78544      0.27710E-14   2.1000      0.44910E+07 
1436-63  20    219.13      -63.532     .45961      0.11201E-14   4.0000      0.65012E+07 
1449-64  20    222.36      -64.017     .17948      0.27475E-14   2.2000      0.10350E+07 
1451-68  20    222.87      -68.525     .26338      0.98780E-16  0.23000      0.42245E+08 
1454-51  20    223.54      -51.181     1.7483      0.52900E-14   1.1000      0.52363E+07 
1503-51  20    225.77      -51.777     .84074      0.63700E-14   1.9000      0.20912E+07 
1503-66  20    225.85      -66.491     .35565      0.11570E-14   4.5000      0.48704E+07 
1504-43  20    226.06      -43.676     .28676      0.16045E-14   1.7000      0.28317E+07 
1507-44  20    226.86      -44.180     .94387      0.61000E-15   3.0000      0.24516E+08 
1508+55  16    227.02       55.716     .73968      0.50327E-14  0.73000      0.23287E+07 
1509-58  20    227.50      -58.949     .15023      0.15402E-11   6.7000       1545.4     
1510-48  20    227.69      -48.386     .45484      0.92500E-15   1.7000      0.77908E+07 
1523-55  20    230.96      -55.695     1.0487      0.11280E-13   9.3000      0.14730E+07 
1524-39  20    231.18      -39.353     2.4176      0.19070E-13   1.7000      0.20086E+07 
1530+27  20    232.52       27.932     1.1248      0.80300E-15  0.53000      0.22194E+08 
1530-53  20    232.59      -53.405     1.3689      0.14280E-14  0.65000      0.15188E+08 
1540-06  20    235.21      -6.1881     .70906      0.88300E-15  0.66000      0.12723E+08 
1541+09  16    235.31       9.6452     .74845      0.43030E-15   1.3000      0.27559E+08 
1541-52  20    235.30      -52.990     .17855      0.60700E-16  0.91000      0.46606E+08 
1550-54  20    237.52      -54.787     1.0813      0.15650E-13   5.6000      0.10947E+07 
1552-23  20    238.13      -23.553     .53258      0.70000E-15   1.9000      0.12055E+08 
1552-31  20    238.04      -31.419     .51811      0.50000E-16   2.6000      0.16418E+09 
1555-55  20    238.85      -55.619     .95724      0.20479E-13   6.3000      0.74059E+06 
1556-44  20    239.05      -44.505     .25706      0.10195E-14   1.9000      0.39947E+07 
1556-57  20    239.06      -57.713     .19445      0.21248E-14   5.7000      0.14500E+07 
1557-50  20    239.29      -50.599     .19260      0.50626E-14   7.8000      0.60277E+06 
1558-50  20    239.64      -50.862     .86420      0.69572E-13   2.5000      0.19681E+06 
1600-27  20    240.02      -27.070     .77831      0.29200E-14   1.7000      0.42232E+07 
1600-49  20    240.18      -49.029     .32742      0.10117E-14   4.2000      0.51276E+07 
