QueryResult

# Config entry for original catalog server:
serv_type: archive
long_name: HST Archive at CADC
short_name: hst@cadc
url: http://cadcwww.dao.nrc.ca/cadcbin/hst-server?ra=%ra&dec=%dec&radius=%r2&nout=%n
symbol: ra plus 2
# End config entry

TARGNAME	RA	DEC	INTRUMENT	EXPOSURE TIME	RELEASE DATE	DATASET	DISTANCE	MORE	PREVIEW
NGC1275	03:19:48.09	+41:30:39.14	WFPC	900	Feb 20 1992  5:31:01:000PM	W0HJ0303T	+0 0 0.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W0HJ0303T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W0HJ0303T/skycat/351507553/NGC1275/900/49.9503772222222/41.5108708333333
NGC1275	03:19:48.09	+41:30:39.14	WFPC	900	Feb 20 1992  5:43:39:000PM	W0HJ0304T	+0 0 0.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W0HJ0304T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W0HJ0304T/skycat/351508873/NGC1275/900/49.9503772222222/41.5108708333333
NGC1275	03:19:48.09	+41:30:39.14	WFPC	900	Feb 20 1992  2:41:17:000PM	W0HJ0305T	+0 0 0.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W0HJ0305T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W0HJ0305T/skycat/351513373/NGC1275/900/49.9503772222222/41.5108708333333
NGC1275	03:19:48.09	+41:30:39.14	WFPC	900	Feb 20 1992  2:52:57:000PM	W0HJ0306T	+0 0 0.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W0HJ0306T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W0HJ0306T/skycat/351514693/NGC1275/900/49.9503772222222/41.5108708333333
NGC1275	03:19:48.09	+41:30:39.14	WFPC	700	Feb 20 1992  3:04:23:000PM	W0HJ0307T	+0 0 0.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W0HJ0307T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W0HJ0307T/skycat/351519553/NGC1275/700/49.9503772222222/41.5108708333333
NGC1275	03:19:48.09	+41:30:39.14	WFPC	700	Feb 20 1992  3:22:30:000PM	W0HJ0308T	+0 0 0.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W0HJ0308T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W0HJ0308T/skycat/351525733/NGC1275/700/49.9503772222222/41.5108708333333
3C84.0	03:19:48.14	+41:30:42.03	WFPC2	140	Jun 29 1995 10:38:33:000PM	U27L1G01T	+0 0 2.0	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U27L1G01T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U27L1G01T/skycat/449551817/3C84.0/140/49.9505913888889/41.5116755555556
3C84.0	03:19:48.14	+41:30:42.03	WFPC2	140	Jun 29 1995 10:43:48:000PM	U27L1G02T	+0 0 2.0	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U27L1G02T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U27L1G02T/skycat/449552057/3C84.0/140/49.9505913888889/41.5116755555556
3C84R	03:19:48.14	+41:30:42.03	WFPC2	140	Jun 29 1995 10:49:24:000PM	U27L1G03T	+0 0 2.0	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U27L1G03T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U27L1G03T/skycat/449552477/3C84R/140/49.9505913888889/41.5116755555556
3C84R	03:19:48.14	+41:30:42.03	WFPC2	140	Jun 29 1995 10:55:16:000PM	U27L1G04T	+0 0 2.0	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U27L1G04T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U27L1G04T/skycat/449552717/3C84R/140/49.9505913888889/41.5116755555556
NGC1275	03:19:48.15	+41:30:42.38	FOS	2269.969	Feb  3 1994  3:06:47:000PM	Y1050103T	+0 0 2.40	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/Y1050103T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/Y1050103T/skycat/413190985/NGC1275/2269.969/49.9506244444444/41.5117716666667
NGC1275	03:19:48.15	+41:30:42.38	FOS	2269.969	Feb  3 1994  3:10:25:000PM	Y1050104T	+0 0 2.40	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/Y1050104T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/Y1050104T/skycat/413196662/NGC1275/2269.969/49.9506244444444/41.5117716666667
NGC1275	03:19:48.15	+41:30:42.38	FOS	2279.953125	Apr 26 1995  5:55:07:666PM	Y1050105T	+0 0 2.40	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/Y1050105T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/Y1050105T/skycat/413202469/NGC1275/2279.953125/49.95062458333/41.51177166667
NGC1275	03:19:48.15	+41:30:42.38	FOS	2279.953	Feb  3 1994  3:39:28:000PM	Y1050106T	+0 0 2.40	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/Y1050106T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/Y1050106T/skycat/413208229/NGC1275/2279.953/49.9506244444444/41.5117716666667
NGC1275	03:19:48.15	+41:30:42.23	FOC	995.875	Nov 27 1992  3:35:53:000PM	X0LA0C01T	+0 0 2.20	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/X0LA0C01T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/X0LA0C01T/skycat/375795013/NGC1275/995.875/49.9506336111111/41.5117311111111
