QueryResult

# Config entry for original catalog server:
serv_type: catalog
long_name: USNO at ESO
short_name: usno@eso
url: http://archive.eso.org/skycat/servers/usnoa-server?%ra%dec&radius=%r1,%r2&%cond&format=8&sort=mr
symbol: mag {circle {} {} {} {} {}} {{(25-$mag)/3600.} {deg 2000}} : b_mag {plus green {} {} {} {}} {{(25-$b_mag)/3600.} {deg 2000}}
search_cols: mag {Brightest (min)} {Faintest (max)}
sort_cols: mag
copyright: Provided by courtesy of the US Naval Observatory
# End config entry

ID	ra	dec	mag	b_mag	qual	field	gsc	d'	pa
U1275_02197753	03:19:38.623	+41:30:51.95	18.8	19.5	0	00199	-	1.796	275.733
U1275_02199170	03:19:44.251	+41:34:00.34	18.8	19.1	0	00199	-	3.399	347.542
U1275_02203073	03:19:59.647	+41:27:16.81	18.8	19.4	0	00199	-	4.028	147.730
U1275_02198789	03:19:42.619	+41:27:45.47	18.8	19.6	0	00199	-	3.108	199.551
U1275_02194313	03:19:24.802	+41:28:58.08	18.8	18.8	0	00199	-	4.701	248.586
U1275_02198284	03:19:40.762	+41:26:04.06	18.8	19.4	0	00199	-	4.823	196.732
U1275_02198998	03:19:43.507	+41:35:05.10	18.8	19.4	0	00199	-	4.484	348.787
U1275_02198393	03:19:41.124	+41:26:54.92	18.9	19.4	0	00199	-	3.995	199.299
U1275_02205988	03:20:11.326	+41:30:54.07	19.0	19.2	0	00199	-	4.340	87.133
U1275_02204756	03:20:06.456	+41:29:21.34	19.0	19.5	0	00199	-	3.673	111.224
U1275_02201350	03:19:52.716	+41:30:25.27	19.0	19.3	0	00199	-	0.891	107.322
U1275_02197678	03:19:38.282	+41:32:00.10	19.1	19.4	0	00199	-	2.279	305.717
U1275_02199220	03:19:44.446	+41:29:08.38	19.1	19.1	0	00199	-	1.697	204.272
U1275_02194244	03:19:24.502	+41:30:24.98	19.1	19.3	0	00199	-	4.439	266.544
U1275_02199662	03:19:46.039	+41:28:27.84	19.1	19.4	0	00199	-	2.258	190.182
U1275_02197586	03:19:37.889	+41:30:28.84	19.3	19.3	0	00199	-	1.936	263.905
